KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FILE CREATED:,11/21/22 22:46,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,22:00:00,0,Homer Deep,0.064,99,9.13,0.1,0.211,1.48,NaN,7.62,-59.8,19.266,5.78
10/14/22,0:30:00,0,Homer Deep,9.209,92.3,8.93,27.59,43.175,2.05,1.187,7.91,-74.6,8.967,5.68
10/14/22,11:15:00,0,Homer Deep,9.765,92.5,9.1,27.3,42.813,3.4,1.188,7.89,-73.4,8.325,5.7
10/14/22,22:00:00,0,Homer Deep,9.022,94.2,9.21,27.59,43.21,5.01,1.184,7.9,-73.8,8.515,5.71
10/16/22,10:15:00,0,Homer Deep,11.337,88.4,8.35,29.57,45.917,1.41,1.194,7.87,-72.1,9.493,5.73
10/18/22,17:30:00,0,Homer Deep,11.372,89.9,8.52,29.47,45.788,1.55,1.191,7.88,-73.1,9.39,5.75
10/19/22,12:00:00,0,Homer Deep,12.233,88.2,8.33,30.05,46.603,1.13,1.188,7.87,-72.1,9.376,5.76
10/21/22,1:00:00,0,Homer Deep,12.148,90.1,8.52,29.9,46.39,1.02,1.184,7.9,-73.7,9.356,5.77
10/26/22,23:00:25,0,Homer Deep,8.451,93.7,9.19,28.96,45.198,3.11,1.191,7.92,-74.6,8.047,5.79
10/29/22,19:15:26,0,Homer Deep,11.867,90.3,8.8,29.74,46.291,3.46,1.192,7.89,-73.4,8.089,5.79
11/3/22,2:30:20,0,Homer Deep,9.368,91,8.99,30.47,47.419,4.09,1.192,7.87,-72.1,7.273,5.8
11/3/22,21:30:00,0,Homer Deep,12.335,91.9,9.21,30.38,47.382,3.25,NaN,7.87,-71.7,6.662,5.03
11/6/22,18:30:00,0,Homer Deep,7.735,94.9,10.33,29.88,47.243,8,NaN,7.84,-69.9,3.386,4.07
,,,,,,,,,,,,,,
,,,MEAN VALUE:,10.555,92.1,8.97,26.44,41.234,4.12,NaN,NA,-71.4,9.125,5.71
,,,STANDARD DEVIATION:,3.923,3.2,0.4,8.81,13.711,2.25,NaN,0.08,4,3.518,0.19
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,22:15:00,0,Homer Deep,0.067,99,9.13,0.1,0.211,1.45,NaN,7.62,-59.8,19.226,5.77
10/16/22,14:30:00,0,Homer Deep,11.509,88.4,8.37,29.44,45.732,2.54,1.184,7.86,-71.8,9.442,5.73
10/17/22,1:30:00,0,Homer Deep,9.663,87.8,8.29,29.68,46.071,1.28,1.191,7.86,-71.8,9.474,5.73
10/23/22,20:15:28,0,Homer Deep,8.458,95,9.55,27.87,43.741,5.44,1.191,7.87,-72.1,7.231,5.78
10/24/22,0:00:26,0,Homer Deep,13.214,93.5,9.18,28.72,44.865,4.4,1.191,7.89,-73.1,8.027,5.78
10/24/22,15:00:29,0,Homer Deep,13.602,93.8,9.07,29.11,45.355,3.44,1.191,7.92,-75,8.589,5.78
10/27/22,14:45:26,0,Homer Deep,14.643,89.7,8.6,29.99,46.59,4.83,1.193,7.89,-73.2,8.683,5.79
10/29/22,12:15:23,0,Homer Deep,10.472,92.5,9.48,29.05,45.567,9.6,1.191,7.9,-73.2,6.105,5.8
10/31/22,10:00:22,0,Homer Deep,11.327,91.1,9.04,29.87,46.585,3.75,1.195,7.88,-72.5,7.233,5.8
